Identifier,SMILES
NPBS000107,OC1CC(=C(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC2=C(C)CC(O)CC2(C)C)C)C)C)C)C(C)(C)C1)C
NPBS000108,O=C1N2C3=CC(OC)=CC=C3C45CCN6CC7=CCOC(C1)C(C7CC64)C25
NPBS000109,O=C(C=CC1=CC=C(O)C=C1)C=2C(O)=CC(O)=CC2OC3OC(CO)C(O)C(O)C3O
NPBS000110,O=C1N2C=3C=CC=CC3C45CCN6CC7=CCOC(C1)C(C7CC64O)C25
NPBS000111,O=C1C2=CC=C3OC(C=CC3=C2OC4COC5=CC(OC)=C(OC)C=C5C14O)(C)C
NPBS000112,OC1CC2(OC2(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC34OC4(C)CC(O)CC3(C)C)C)C)C)C)C(C)(C)C1)C
NPBS000113,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(OC5OC(CO)C(O)C(O)C5O)=C(OC)C4
NPBS000114,C[C@H]1[C@@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C
NPBS000115,OCC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC=C(C)CCC=C(C)CO)C)C)C)C)C)C
NPBS000116,OC=1C=C(O)C=2C=C(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)C(=[O+]C2C1)C=5C=C(O)C(O)=C(OC)C5
NPBS000117,OC=1C=C(O)C=2C=C(OC3OC(CO)C(O)C(O)C3O)C(=[O+]C2C1)C=4C=CC(O)=C(OC)C4
NPBS000118,O=C(OC1C(O)C(O)C(OCC2OC(OC3=CC=4C(OC5OC(CO)C(O)C(O)C5O)=CC(O)=CC4[O+]=C3C=6C=C(O)C(O)=C(OC)C6)C(O)C(O)C2O)OC1C)C=CC7=CC=C(O)C=C7
NPBS000119,O=C(O)C=1C(=O)C2=COC(C)C(C2=C(C1O)C)C
NPBS000120,OC1N2C3CC(C1CC)C4C(O)C5(C=6C=CC=CC6N(C)C35)CC24
NPBS000121,O=C(OC)C1(CO)C2C(=CC)C[N+]3(C)CCC41C=5C=CC=CC5NC43C(O)C2
NPBS000122,O=C(N)NCCCCN
NPBS000123,O=C1OC(=O)C2=C(O)C(=O)C(O)=C(O)C=C12
NPBS000124,O=S(=O)(O)ON=C(SC1OC(CO)C(O)C(O)C1O)CC2=CC=C(O)C=C2
NPBS000125,OC=1C=CC(=CC1)C2=[O+]C3=CC(O)=CC(O)=C3C=C2
NPBS000126,O=C1CC2C3CCC4C(CN5CC(C)CCC5C4(O)C)C3CC2C6(C)CCC(O)CC16
NPBS000127,OC1CCC2(C)C(CCC3(C)C2CCC4C5C(C(=CCC5(C)CCC43C)C)C)C1(C)C
NPBS000128,O=C1C(O)=C(C(=O)C=2C=CC=CC12)C
NPBS000129,OC=1C=C(O)C=2C=C(OC3OC(CO)C(O)C(O)C3O)C(=[O+]C2C1)C=4C=C(O)C(O)=C(O)C4
NPBS000130,O=C1C=C(OC2=CC(OC3OC(CO)C(O)C(O)C3O)=CC(O)=C12)C=4C=C(OC)C(O)=C(OC)C4
NPBS000131,CCCc1cc(OC(=O)c2c(O)cc(OC)cc2CCC)cc(O)c1C(=O)O
NPBS000132,O=C(O)C1OC(OC2=CC(O)=C3C(=O)C=C(OC3=C2OC)C=4C=CC=CC4)C(O)C(O)C1O
NPBS000133,OCC12CCC(C)(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1O
NPBS000134,O=C1CC2C3C(=C(C)C4(OC5CC(C)CNC5C4C)CC3)CC2C6(C)CCC(O)CC16
NPBS000135,CC1=C(O)c2ccccc2C(=O)C1=O
NPBS000136,OC1=CC2=C(C=C1OC)C3=C(OC)C(O)=CC4=C3C(NCC4)C2
NPBS000137,O=C(O)CC(=O)OCC1OC(OC2=CC=3C(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)=CC(O)=CC3[O+]=C2C=5C=C(O)C(O)=C(O)C5)C(O)C(O)C1O
NPBS000138,O=C1C2=CC=C(O)C=C2OC(C3=CC=C(OC4OC(CO)C(O)C(O)C4O)C=C3)C1
NPBS000139,O=C1OC=2C(C(O)=C1C=3C=CC(O)=CC3)=C(OC)C=4C=CC(OC4C2CC=C(C)C)(C)C
NPBS000140,OC1=CC=C2C(OC(C3=CC=C(O)C(O)=C3)C(O)C2)=C1
NPBS000141,OC=1C=C(O)C=2C=C(OC3OC(CO)C(O)C(O)C3OC4OCC(O)C(O)C4O)C(=[O+]C2C1)C=5C=CC(O)=C(O)C5
NPBS000142,O=C(OC)C1N2C=3C=CC=CC3C45CCN6CC(=CC)C1CC6C25OC7(OCC8C9N(C)C(C%10=C(C=%11C=CC=CC%11N%10C)C9)CC8C7C4)C
NPBS000143,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCC(=CC)C(C)C)C2(C)CC1
NPBS000144,O=C(OCC1OC(OC2=CC=3C(O)=CC(O)=CC3[O+]=C2C=4C=CC(O)=C(O)C4)C(O)C(O)C1O)C=CC5=CC=C(O)C=C5
NPBS000145,O=C(OCC1OC(OCC2OC(OC3=CC=4C(O)=CC(O)=CC4[O+]=C3C=5C=CC(O)=C(O)C5)C(O)C(O)C2O)C(O)C(O)C1O)C=CC6=CC(OC)=C(O)C(OC)=C6
NPBS000146,O=C1C2=CC=C(OC3OC(CO)C(O)C(O)C3O)C=C2OC(C4=CC=C(O)C(OC5OC(CO)C(O)C(O)C5O)=C4)C1
NPBS000147,O=C(NC(C)CO)C1C=C2C=3C=CC=C4NC=C(C43)CC2N(C)C1
NPBS000148,OC[C@H](O)[C@H](O)CO
NPBS000149,O=C1N2CC3CCCN4CCCC(C2CCC1)C43
NPBS000150,O1C2=CC=C(C=C2)CC3C4=CC(OC=5C(OC)=C(OC)C=C6C5C(N(C)CC6)CC7=CC=C(OC)C1=C7)=C(OC)C=C4CCN3C
NPBS000151,O=C1C2=C(OC=3C=4C=CC(O)=CC4OC(C=C(C)C)C13)C=C(OC)C(=C2O)CC=C(C)C
NPBS000152,O=C(OC=1C=CC(=CC1)C=2OC3=CC(OC4OC(CO)C(O)C(O)C4O)=CC(O)=C3C(=O)C2)C=CC5=CC=C(O)C=C5
NPBS000153,OC1CCC2C(C)(CCC3C2(C)CCC4(C)C5CC(C)(C)CCC5(C)CCC34C)C1C
NPBS000154,OCC1OC(OC2C(O)C(OC3CC4=CCC5C(CCC6(C)C5CC7N8CC(C)CCC8C(C)C76)C4(C)CC3)OC(CO)C2O)C(O)C(O)C1O
NPBS000155,O=C1OC(C(=O)C1=C2OC(CC)CC2)C
NPBS000156,O=C(O)C1C=CC(=C)C(C)(C)C1
NPBS000157,N#CC(OC1OC(CO)C(O)C(O)C1O)C2=CC=C(O)C=C2
NPBS000158,OCC1OC(OC2C(O)C(OC(OC3CC4=CCC5C(CCC6(C)C5CC7N8CC(C)CCC8C(C)C76)C4(C)CC3)C2OC9OC(C)C(O)C(O)C9O)CO)C(O)C(O)C1O
NPBS000159,O=C(O)C=C(OC)C(=O)C(=C)C
NPBS000160,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6N7CC(C)CCC7C(C)C65)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1OC9OC(C)C(O)C(O)C9O
NPBS000161,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6N7CC(C)CCC7C(C)C65)C3(C)CC2)C(O)C(O)C1O
NPBS000162,CC(=C)C(=O)/C(=C/C(=O)O)/OC
NPBS000163,O=C(OC)C1=COC(C)C2CN3CCC4(C(=O)NC=5C=CC=CC54)C3CC12
NPBS000164,O=C(OCC12CN(CC)C3C4(O)C(OC)C1C3(C(OC)CC2)C5CC6C(OC)CC4(O)C5C6OC)C=7C=CC=CC7N
NPBS000165,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6N7CC(C)CCC7C(C)C65)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1O
NPBS000166,CC[C@H]1CC/C(=C\2/C(=O)[C@H](OC2=O)C)/O1
NPBS000167,O=C1C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC4OC(C)C(O)C(O)C4O)C=C2OC(C5=CC=C(OC)C(O)=C5)C1
